question,verifiable_answer,task_complexity,olympiad
"В выпуклом четырёхугольнике ABCD стороны AB, BC и CD равны, M — середина AD. Известно, что угол BMC равен 90°. Найдите угол между диагоналями четырёхугольника ABCD.",30,MEDIUM,mos
"На сторонах единичного квадрата отметили точки K, L, M, N так, что KM параллельна двум сторонам квадрата, а LN — двум другим. KL отсекает треугольник периметра 1. Какова площадь треугольника, отсекаемого MN?",1/4,MEDIUM,mos
"В остроугольном треугольнике ABC, где ∠A = 45°, проведены высоты AA₁, BB₁, CC₁. Биссектриса угла BAA₁ пересекает B₁A₁ в D, биссектриса угла CAA₁ пересекает C₁A₁ в E. Найдите угол между BD и CE.",67.5,MEDIUM,mos
"В треугольник $\Delta$ вписана окружность $\omega$. Касательные к $\omega$, параллельные сторонам треугольника, отсекают от него три маленьких треугольника $\Delta_1$, $\Delta_2$, $\Delta_3$. Коэффициент подобия между треугольниками $\Delta_1$ и $\Delta$ равен 0,15; между треугольниками $\Delta_2$ и $\Delta$ — 0,43. Найдите коэффициент подобия между треугольниками $\Delta_3$ и $\Delta$. При необходимости округлите ответ с точностью до сотых.",0.42,HARD,mos
"Дан выпуклый пятиугольник $ABCDE$, все стороны которого равны между собой. Известно, что угол $A$ равен $120^\circ$, угол $C$ равен $135^\circ$, а угол $D$ равен $n^\circ$. Найдите все возможные целые значения $n$.",90,MEDIUM,mos
"Точка $O$ — центр описанной окружности остроугольного треугольника $ABC$. Описанная окружность треугольника $AOC$ вторично пересекает стороны $AB$ и $BC$ в точках $E$ и $F$. Оказалось, что прямая $EF$ делит площадь треугольника $ABC$ пополам. Найдите угол $B$.",45,HARD,mos
"Внутри равнобедренного треугольника $ABC$ отмечена точка $K$, такая что $AB = BC = CK$ и $\angle KAC = 30^\circ$. Найдите угол $AKB$.",150,MEDIUM,mos
"На стороне AC треугольника ABC взяли такую точку D, что угол BDC равен углу ABC. Чему равно наименьшее возможное расстояние между центрами окружностей, описанных около треугольников ABC и ABD, если BC = 1?",1/2,MEDIUM,mos
"В треугольнике $ ABC $ со сторонами $ AB = 3 $, $ BC = 4 $, $ CA = 5 $ на сторонах $ AB $, $ BC $, $ CA $ взяты пары точек $ C_1 $ и $ C_2 $, $ A_1 $ и $ A_2 $, $ B_1 $ и $ B_2 $ соответственно. Внутри треугольника $ ABC $ находится точка $ P $, такая что треугольники $ PA_1A_2 $, $ PB_1B_2 $, $ PC_1C_2 $ — равные и равносторонние. Найдите площадь выпуклого шестиугольника с вершинами в точках $ A_1 $, $ A_2 $, $ B_1 $, $ B_2 $, $ C_1 $, $ C_2 $. Если необходимо, округлите ответ с точностью до 0,01.",3.34,HARD,mos
"Периметр треугольника $ABC$ равен 1. Окружность $\omega$ касается стороны $BC$, продолжения стороны $AB$ в точке $P$ и продолжения стороны $AC$ в точке $Q$. Прямая, проходящая через середины $AB$ и $AC$, пересекает описанную окружность треугольника $APQ$ в точках $X$ и $Y$. Найдите длину отрезка $XY$.",1/2,HARD,mos
"Окружность ω касается сторон AD, AB и BC параллелограмма ABCD, в котором ∠A < 90°. Диагональ AC пересекает ω в точках P и Q, причём P лежит между A и Q. Найдите площадь параллелограмма ABCD, если AP = 3, PQ = 9, QC = 16. Если необходимо, округлите ответ с точностью до 0,01.",254.61,HARD,mos
"Точка $ P $ лежит на описанной окружности квадрата $ ABCD $ и $ PA \cdot PC = 56 $, $ PB \cdot PD = 90 $. Найдите площадь $ ABCD $. При необходимости ответ округлите до трёх знаков после запятой.",106,HARD,mos
"В треугольнике \( ABC \) угол \( C \) равен \( 75^\circ \), а угол \( B \) равен \( 60^\circ \). Вершина \( M \) равнобедренного прямоугольного треугольника \( BCM \) с гипотенузой \( BC \) расположена внутри треугольника \( ABC \). Найдите угол \( MAC \).",30,MEDIUM,vos
"Дан треугольник \(ABC\). Прямая, параллельная \(AC\), пересекает стороны \(AB\) и \(BC\) в точках \(P\) и \(T\) соответственно, а медиану \(AM\) — в точке \(Q\). Известно, что \(PQ=3\), а \(QT=5\). Найдите длину \(AC\).",11,MEDIUM,vos
"В треугольнике ABC медиана, выходящая из вершины A, перпендикулярна биссектрисе угла B, а медиана, выходящая из вершины B, перпендикулярна биссектрисе угла A. Известно, что сторона AB = 1. Найдите периметр треугольника ABC.",5,MEDIUM,vos
"Равнобедренная трапеция \(ABCD\) с основаниями \(BC\) и \(AD\) такова, что \(\angle ADC=2 \angle CAD=82^{\circ}\). Внутри трапеции выбрана точка \(T\) так, что \(CT=CD, AT=TD\). Найдите \(\angle TCD\).",38,MEDIUM,vos
"Равнобедренная трапеция \(ABCD\) с основаниями \(BC\) и \(AD\) такова, что \(\angle ADC=2 \angle CAD=86^{\circ}\). Внутри трапеции выбрана точка \(T\) так, что \(CT=CD, AT=TD\). Найдите \(\angle TCD\).",34,MEDIUM,vos
"Равнобедренная трапеция \(ABCD\) с основаниями \(BC\) и \(AD\) такова, что \(\angle ADC=2 \angle CAD=88^{\circ}\). Внутри трапеции выбрана точка \(T\) так, что \(CT=CD, AT=TD\). Найдите \(\angle TCD\).",32,MEDIUM,vos
"На стороне AC треугольника ABC отмечены точки M и N (M лежит на отрезке AN). Известно, что AB = AN, BC = MC. Описанные окружности треугольников ABM и CBN пересекаются в точках B и K. Сколько градусов составляет угол AKC, если ∠ABC = 64°?",122,MEDIUM,vos
"Дан параллелограмм \(ABCD\), \(\angle D = 100^\circ\), \(BC = 24\). На стороне \(AD\) есть такая точка \(L\), что \(\angle ABL = 50^\circ\), \(LD = 8\). Найдите длину \(CD\).",16,MEDIUM,vos
"Дан параллелограмм \(ABCD\), \(\angle D = 140^\circ\), \(BC = 36\). На стороне \(AD\) есть такая точка \(L\), что \(\angle ABL = 70^\circ\), \(LD = 12\). Найдите длину \(CD\).",24,MEDIUM,vos
"Точка \(M\) — середина стороны \(BC\) треугольника \(ABC\), в котором \(AB = 19\), \(AC = 36\), \(BC = 21\). На стороне \(AB\) как на диаметре построена окружность. На этой окружности выбирается произвольная точка \(X\). Какое минимальное значение может принимать длина отрезка \(MX\)?",8.5,MEDIUM,vos
"Диагонали четырёхугольника \(ABCD\) пересекаются в точке \(K\). Оказалось, что \(AB = BK = KD\). На отрезке \(KC\) отметили такую точку \(L\), что \(AK = LC\). Найдите \(\angle BLA\), если известно, что \(\angle ABD = 52^\circ\) и \(\angle CDB = 74^\circ\).",42,MEDIUM,vos
"Дан вписанный четырёхугольник $ABCD$. Известно, что $\angle ADB = 48^\circ$, $\angle BDC = 56^\circ$. Внутри треугольника $ABC$ отмечена точка $X$ так, что $\angle BCX = 24^\circ$, а луч $AX$ является биссектрисой угла $BAC$. Найдите угол $CBX$.",38,MEDIUM,vos
"Биссектрисы треугольника $A B C$ пересекаются в точке $I$, внешние биссектрисы его углов $B$ и $C$ пересекаются в точке $J$. Окружность $\omega_{b}$ с центром в точке $O_{b}$ проходит через точку $B$ и касается прямой $C I$ в точке $I$. Окружность $\omega_{c}$ с центром в точке $O_{c}$ проходит через точку $C$ и касается прямой $B I$ в точке $I$. Отрезки $O_{b} O_{c}$ и $I J$ пересекаются в точке $K$. Найдите отношение $I K / K J$.",1/3,HARD,vos
"Дан прямоугольник \( ABCD \). Прямая, проходящая через вершину \( A \) и точку \( K \) на стороне \( BC \), делит весь прямоугольник на две части, площадь одной из которых в 5 раз меньше площади другой. Найдите длину отрезка \( KC \), если \( AD = 60 \).",40,MEDIUM,vos
"Дан треугольник ABC. Пусть точка I — центр его вписанной окружности, а точки P и Q — середины сторон AB и AC соответственно. Оказалось, что ∠PIQ + ∠BIC = 180°. Найдите длину отрезка BC, если AB = 20 и AC = 14.",34/3,HARD,vos
"Точка $M$ — середина основания $BC$ трапеции $ABCD$. На основании $AD$ выбрана точка $P$. Луч $PM$ пересекает луч $DC$ в точке $Q$. Перпендикуляр к основанию $AD$, проведённый через точку $P$, пересекает отрезок $BQ$ в точке $K$.  Известно, что $\angle KQD = 64^\circ$ и $\angle KDQ = 38^\circ$. Сколько градусов составляет угол $KBC$?",39,MEDIUM,vos
В равнобедренном треугольнике основание в 2 раза больше диаметра вписанной окружности. Найдите синус большего угла треугольника.,0.96,MEDIUM,vos
В равнобедренном треугольнике основание в 2 раза больше диаметра вписанной окружности. Найдите косинус большего угла треугольника.,0.28,MEDIUM,vos
В равнобедренном треугольнике основание в 3 раза больше диаметра вписанной окружности. Найдите косинус большего угла треугольника.,-0.28,MEDIUM,vos
В равнобедренном треугольнике основание в 3 раза больше диаметра вписанной окружности. Найдите синус большего угла треугольника.,0.96,MEDIUM,vos
"В равнобедренном треугольнике основание в 1,5 раза больше диаметра вписанной окружности. Найдите косинус большего угла треугольника.",5/13,MEDIUM,vos
"В равнобедренном треугольнике основание в 1,5 раза больше диаметра вписанной окружности. Найдите синус большего угла треугольника.",12/13,MEDIUM,vos
"На стороне \(AB\) параллелограмма \(ABCD\) выбрана точка \(F\), а на продолжении стороны \(BC\) за вершину \(B\) — точка \(H\) так, что \(AB/BF = BC/BH = 5\). Точка \(G\) выбирается так, что \(BFGH\) — параллелограмм. \(GD\) пересекает \(AC\) в точке \(X\). Найдите \(AX\), если \(AC = 100\).",40,MEDIUM,vos
"На стороне AC треугольника ABC выбрана точка E. Биссектриса AL пересекает отрезок BE в точке X. Оказалось, что AX = XE и AL = BX. Чему равно отношение углов A и B треугольника?",2,HARD,vos
"Вписанный четырёхугольник \(ABCD\) таков, что \(\angle ADB = 40^\circ\) и \(\angle CDB = 52^\circ\). Точка \(M\) внутри четырёхугольника такова, что \(\angle BAM = 26^\circ\) и \(\angle BCM = 20^\circ\). Сколько градусов составляет угол \(CBM\)?",44,MEDIUM,vos
"В прямоугольном треугольнике \( ABC \) с прямым углом \( A \) проведена высота \( AH \). На продолжении отрезка \( HA \) за точку \( A \) нашлась точка \( D \) такая, что \( \angle DBA = \angle CBA \). Найдите длину отрезка \( BD \), если известно, что \( BC = 7 \) и \( AD = 12 \).",16,MEDIUM,vos
"В окружность ω вписана трапеция ABCD такая, что BC ∥ AD, AD = 14 и BC = 9. Пусть M — середина дуги AD окружности ω, не содержащей точек B и C. Прямая ℓ касается ω в точке C. Пусть H — основание перпендикуляра, опущенного из M на ℓ. Найдите длину отрезка CH.",4.5,HARD,vos
"Дан выпуклый четырёхугольник \(ABCD\), в котором \(AB = BD\). На отрезке \(BD\) выбрали точку \(K\) так, что \(AD \parallel KC\). Описанная окружность треугольника \(KDC\) пересекает отрезок \(BC\) в точке \(L\). Известно, что \(\angle ABD = 48^\circ\) и \(\angle CBD = 13^\circ\). Сколько градусов составляет угол \(BAL\)?",53,HARD,vos
"Дана трапеция \(ABCD\) (\(AD \parallel BC\)). Оказалось, что \(\angle ABD = \angle BCD\). Найдите длину отрезка \(BD\), если \(BC = 36\) и \(AD = 81\).",54,MEDIUM,vos
"Дана трапеция \(ABCD\) (\(AD \parallel BC\)). Оказалось, что \(\angle ABD = \angle BCD\). Найдите длину отрезка \(BD\), если \(BC = 49\) и \(AD = 64\).",56,MEDIUM,vos
"Дана трапеция \(ABCD\) (\(AD \parallel BC\)). Оказалось, что \(\angle ABD = \angle BCD\). Найдите длину отрезка \(BD\), если \(BC = 49\) и \(AD = 81\).",63,MEDIUM,vos
"Дана трапеция \(ABCD\) (\(BC \parallel AD\)). Точка \(H\) на стороне \(AB\) такова, что \(\angle DHA = 90^\circ\). Известно, что \(CH = CD = 13\) и \(AD = 19\). Найдите длину отрезка \(BC\).",9.5,MEDIUM,vos
"Дана трапеция \(ABCD\) (\(BC \parallel AD\)). Точка \(H\) на стороне \(AB\) такова, что \(\angle DHA = 90^\circ\). Известно, что \(CH = CD = 11\) и \(AD = 17\). Найдите длину отрезка \(BC\).",8.5,MEDIUM,vos
"Дана трапеция \(ABCD\) (\(BC \parallel AD\)). Точка \(H\) на стороне \(AB\) такова, что \(\angle DHA = 90^\circ\). Известно, что \(CH = CD = 13\) и \(AD = 21\). Найдите длину отрезка \(BC\).",10.5,MEDIUM,vos
"На стороне AB прямоугольника ABCD выбрана точка P, а на стороне CD — точка Q. Известно, что ∠BCP = 17°, ∠AQP = 37°, ∠QAD = 16°. Сколько градусов составляет ∠CPQ?",38,MEDIUM,vos
"В прямоугольном треугольнике \( ABC \) с прямым углом \( C \) провели высоту \( CH \). На гипотенузе \( AB \) отметили точки \( X \) и \( Y \), такие что \( CX \) и \( CY \) — биссектрисы углов \( BCH \) и \( HCA \) соответственно. Найдите, чему равна длина стороны \( AB \), если известно, что периметр треугольника \( ABC \) равен 44, а длина отрезка \( XY \) равна 6.",19,MEDIUM,vos
"В остроугольном треугольнике \(ABC\) провели высоты \(BB_{1}\) и \(CC_{1}\). Точки \(M\) и \(N\) являются серединами сторон \(AC\) и \(AB\) соответственно. Прямая \(C_{1}M\) повторно пересекает описанную окружность треугольника \(BCC_{1}\) в точке \(X\). Точка \(O\) является центром описанной окружности треугольника \(B_{1}MX\). Найдите \(ON\), если \(AB = 10\), \(B_{1}M = 3\), \(\angle A = 60^\circ\).",8,MEDIUM,vos
"Дан треугольник \(ABC\) с тупым углом при вершине \(C\). На стороне \(AC\) нашлась точка \(P\) такая, что \(\angle CPB = 22^\circ\). На отрезке \(BP\) нашлась точка \(Q\) такая, что \(BQ = 2PC\) и \(QC \perp BC\). Сколько градусов составляет угол \(ACB\)?",147,HARD,vos
"В треугольнике \(ABC\) с углом \(100^\circ\) при вершине \(A\) медианы \(BK\) и \(CN\) пересекаются в точке \(M\). Прямая, проходящая через точку \(M\) и параллельная \(BC\), пересекает описанную окружность треугольника \(AKN\) в точках \(P\) и \(Q\). Найдите сумму углов \(BPC\) и \(BQC\).",280,HARD,vos
